,Channel,Channel Subscribers,Video Name,Posted Date,Video Views,Video Likes,Video Dislikes,Comment,Comment Likes
40,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"No song? I'll do one!
Milk Shake Shake!
It's really great!
Gotta shake my shake",258
41,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I actually made the chocolate peanut butter one and my dad finnaly came home with the milk after 24 years so I can could make more.  Thanks YSAC!,
42,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""Next time use logic"" 
I wish more people would be apply this.",
43,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,My 5 yo sister watching this with me:,
44,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,my favorite YSAC bits are the ones that end with “well that was supposed to be a joke but it ended up working really good”,1
45,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"1:24 I got stuck on this part, could you please explain the ""fork"" tool that you use?",2
46,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,The dairy and the ginger cancel each other out for the anti inflamitory its  hilarous,
47,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,The blender noises were getting me every time.,2
48,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I love that you can actually make a milkshake with a fork. I'mma go do that right now,2
49,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I love when he's like ""this was supposed to be a joke but it actually works great"" creative king 👏🏾",774
50,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"This popped up in my recommendations and i thought this video has 5 or 6 years old because youtube always sends me old vid , but this is a new video",1
51,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"You my friend will be remembered 

- probably Inigo The Brave
But seriously your awesome",1
52,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"0:57
""yo Dawg can I get some ice cream?""",
53,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,sometimes i wonder that WHY DO I EVEN WATCH THIS !!!😂😂,
54,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"When your  salted caramel milkshake was full and you started to pour more, I wanted to scream.",849
55,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Instructions unclear: accidentally summoned pimpblocto,8
56,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,This is like Nino's Home/Kitchen but there's actually someone talking,1
57,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,The increasingly aggressive blender noises were my favorite part.,1
58,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,how can i be so attracted to someone whose goddamn face i've never seen,
59,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""garnish with a small piece of gi-""

NO. NO THATS HOW YOU DIE FROM USING TOO MUCH GINGER.",
60,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I believe this is HowToBasic but for vanilla-kinda-people.,2
61,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,3:06 I’m having major déjà vu... like I remember hearing something like that but I can’t remember where,
62,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"In a world gone crazy, it brings me great comfort that YSAC is still out there. I feel comforted, somehow...",1
63,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Hey YSAC, I don't know if you're reading this, but I seriously want to tell you how much I love your content. Quarantine hasn't been that great, but it always seems that you're here with your beautiful editing and weird sense of humour to make my day better. I genuinely think you're one of the funniest, most entertaining channels I've had the pleasure to find, and I'm really happy for doing so! Thank you for existing, and keep up the awesome work!",59
64,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""old crusty honey"" is my new favorite term of endearment",
65,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"when YSAC uploads: :0
When you realize you're to lactose intolerant to enjoy the episode: •́  ‿ ,•̀",
66,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Instructions unclear

Is the grunting an important ingredient?",3
67,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,It hurt my soul a bit when you casually smeared syrup all over the cups 😭 I live for creating chocolate drizzles,
68,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"This had me smiling the whole time. And yes, I’ve used a fork instead of a blender, as a kid, to make a milkshake. Totally works!!",
69,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Instructions unclear, i put a whole cow in the blender and now i have a half blended cow.( and i think its dying)
help.",1
70,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"2:46
Can we talk about how thick and round this caramel is?",
71,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Oh, when you put ew on the banana, I almost unsubbed. BLASPHEMY!",
72,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I can't believe there was no song at the end. Tears of disbelief streaming down my face right now.,356
73,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I will never understand YSAC...
I also don’t think I’m supposed to",2
74,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,1:12 I thought someone broke into my house bruh 😭,
75,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Some of these recipie seem like they will a actually wprk,
76,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""Which happens do be vegan"" smiles in lactose intolerant",
77,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I’ve just discovered something amazing 😉 thank you for you,1
78,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Having a custard milkshake right now. 
Just custard straight out of the carton.",1
79,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"You know every month I think I'm not gonna live to see the next YSAC, but then I do every time",1
80,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I'm always just a little sad when there isn't a song in the episode 😢,1
81,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Last time I was this early, Pimblokto was still alive",545
82,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"life hack: microwave the fork to help the fork blend the ice cream, or microwave the blender, or microwave the microwave to help the microwave microwave a microwave.",1
83,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"What’s the measurements in Mls or Grams, we don’t use “cups” to measure everywhere else in the world.",
84,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Now We've got the Intro songs back, but at what cost? There's no outro songs at the end of the video.

Anyway nice video, sorry for being greedy LOL",1
85,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I love how he actually teaches us a recipe but just. Messes up the presentation,
86,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"“The reason its called vanilla ice cream is because vanilla ice cream is traditionally sold out of the back of a van”
I almost died because of that 😂 😂 😂",445
87,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I absolutely love it when the random jokes you try end up actually working! My favorite was probably with the scones, but this is a close second.",
88,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I never watched any videos of this channel because I thought it was ""just another generic cooking video""
I was wrong",1
89,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Just getting the notification for this video, even though it's almost a week old.",
90,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,CAN WE PLEASE APPRECIATE HIS VEINS OMG 😳😳,
91,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Guy's voice Sounds like a mix of chills and Daily dose of internet,
92,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"the funny thing is that every single one of these can be found at a ""craft milkshakery"" somewhere in the US",
93,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,0:56 you're speaking my love language here lmao,
94,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I lost it when he started smearing caramel on the outside of the cup,
95,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"1:25
As someone who doesnt have a bender, this is the best method.",
96,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Me drinking my peach milkshake from Chick-fil-A: wow that looks delicious, I wish I could have a milkshake",
97,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Haven't laughed out loud to a video in a long time, other than in derision.

Many thanks.",
98,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I remember that during the most suicidal point of my life, I told myself that I need to be here for the next you suck at cooking video.",
99,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Lol this is my first time watching and I love his sense of humour ☠️☠️☠️,
100,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,YSAC was so surprised that the wangjangler worked that he broke character,1
101,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,i've been in a really bad mood for days and this made me laugh so hard hahahha,
102,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"What I like to do is fill up the glass with ice-cream, pack it in, rough up the top a little, then add about a half-inch of milk on top. Then I let it freeze the milk for a little bit, then stir it in with a spoon. The longer you stir, the smoother it gets, but I tend to like it thick, so I only stir until all the clumps of ice-cream are broken up.",
103,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""Instead of smearing caramel on the inside, I'll smear it on the outside.""

You MONSTER",518
104,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"The knives on the magnetic knife strip, tho. 🤭 Go watch it again. 
And lumpy milk. 
So many Easter eggs.",1
105,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I was gonna say something like ""You can also use [3D modeling software] instead of Blender"" but I don't know any other 3D modeling software",
106,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,since no one is gonna say it.. who else thinks his hands are hot?,1
107,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,1:58 When you make a cold remedy with ice cream...,
108,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,i was waiting for the end song. those are some of my favorites!,
109,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"No song? Damn, and here I thought I could add another song to my playlist",1
110,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""Ok well that was supposed to be a joke but it turns out you dont need a blender to make a milkshake"" 😂",
111,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""It's not a milkshake if you don't shake it""
YSAC: fork go 1:29",
112,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,3:40 Bold of you to assume I have anything except the old-crusty variety,
113,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I love how his video quality never changes 🤧☝🏼,
114,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I love when he jokingly attempts a technique, only for it to work flawlessly, there’s so much satisfaction in that!",
115,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,1:30 Hahaha! tfw you try to be funny but actually do something smart,
116,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,man i love this guy he's a great cook and he's also really funny,1
117,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,If you watch enough of ysac YouTube will eventually recommend actual cooking videos,1
118,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"Casually taught us how to make ice cream and milkshakes

Also supports blm movement ",1
119,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"what happend to devon? Did you move away from his toxix soul, or did he mysteriously dissapear with out a trace with absolutely no involvement from you at all, also who is devon?",
120,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I wanted to be comforted like the way YSAC comforting his blender.,394
121,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"1:35 
the wooden spatula: am I a joke to you",
122,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I dont know why this was recommended to me by YT but it was great. Will definitely attempt some of this.,
123,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I’m just kind of having a hard time with there not being a silly song at the end with video of your dog jumping around.,
124,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,“mILkShAkE VeSsEl”,3
125,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,Holy crap I can't imagine the cleanup for this video.,111
126,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"""yo can i get some ice cream?""

""only a spoonful""",
127,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,"I misheard ""tongue elongation"" as ""tonguey longation""",
128,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,I'VE BEEN WAITING FOR A NEW EPISODE FOR SO LONG!!!! YAAAAAAAAYYYYYY,
129,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,1:09 If you've watched the previous episode the stick blender are also known as the Immersion blender. G'day mates,
130,You Suck At Cooking,2.34M subscribers,6 Milkshakes - You Suck at Cooking (episode 111),"Jun 25, 2020","1,029,638 views",61K,734,desired thickness of milkshake: to get the boys to the yard,187
